DossierCommune;DossierDateCreation;DossierNom;DossierOperateur;DossierParcelle;DossierPointX;DossierPointY;DossierPresenceEtablissment;DossierQuartier;DossierRueNo;DossierRueNom;PieceId;PieceType;PieceUrl;lat;lon
Brest;2024-04-17;DIM-SFR-059;SFR;KR0025;146098;6835697;True;BREST-CENTRE;34;RUE MONGE;390;Dossier de simulation;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-SFR-059/2910000033_3-4_RAPPORT_MESURE_CEM_20240417_Dossier_de_simulation.pdf;48.384881;-4.49257
Brest;2024-04-17;DIM-SFR-059;SFR;KR0025;146098;6835697;True;BREST-CENTRE;34;RUE MONGE;389;DIM;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-SFR-059/2910000033_1-9_DIM_20240408_DIM.pdf;48.384881;-4.49257
Brest;2024-04-15;DIM-SFR-058;SFR;BR0228;147217;6836218;True;BREST-CENTRE;53;RUE VICTOR HUGO;386;DIM;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-SFR-058/2910000060_1-9_DIM_20221124_DIM.pdf;48.3905;-4.47819
Brest;2024-04-15;DIM-SFR-058;SFR;BR0228;147217;6836218;True;BREST-CENTRE;53;RUE VICTOR HUGO;387;Dossier de simulation;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-SFR-058/2910000060_3-4_RAPPORT_MESURE_CEM_20230908_Dossier_de_simulation.pdf;48.3905;-4.47819
Brest;2024-03-20;DIM-BOUYGUES TELECOM-028;BOUYGUES TELECOM;IW137;146102;6836629;True;BREST-CENTRE;19;RUE BERNARD SCHEIDHAUER;381;DIM;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-BOUYGUES TELECOM-028/T51738_DIM_V2_DIM.pdf;48.393232;-4.49371
Brest;2024-03-20;DIM-BOUYGUES TELECOM-028;BOUYGUES TELECOM;IW137;146102;6836629;True;BREST-CENTRE;19;RUE BERNARD SCHEIDHAUER;382;Dossier de simulation;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-BOUYGUES TELECOM-028/T51738_expo_Dossier_de_simulation.pdf;48.393232;-4.49371
Brest;2024-02-05;DIM-BOUYGUES TELECOM-025;BOUYGUES TELECOM;IO0049;149367;6836215;False;SAINT MARC;7;RUE COLONEL BERTHAUD;373;DIM;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-BOUYGUES TELECOM-025/T51735_DIM_DIM.pdf;48.392299;-4.449273
Guipavas;2024-02-05;DIM-FREE MOBILE-041;FREE MOBILE;OH1564;152034;6841001;False;TOUT GUIPAVAS;0;LDT FORESTIG;371;DIM;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-FREE MOBILE-041/29075_011_01GUIPAVAS_FORESTIC_ATC_5G_DIM.pdf;48.437421;-4.41947
Brest;2024-01-30;DIM-FREE MOBILE-040;FREE MOBILE;EH0358;;;False;BELLEVUE;0;RTE DE TRAON BIHAN;369;DIM;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-FREE MOBILE-040/DIM_29019_069_01_BREST_RTE_DIM.pdf;;
Brest;2024-01-23;DIM-BOUYGUES TELECOM-024;BOUYGUES TELECOM;BE204;149849;6836450;True;SAINT MARC;88;RUE KERAMPERE;367;Dossier de simulation;https://echanges.brest-metropole.fr/VIPOD03/dim/documents/DIM-BOUYGUES TELECOM-024/T01979_100394_rappefo_Dossier_de_simulation.pdf;48.394812;-4.443089
